location,rooms,total_listings,latitude,longitude
Ablon sur seine (94480),53 chambres,2,48.7247785,2.4216096
Acheres (78260),3 chambres,1,47.2774561,2.4491821
Adainville (78113),"4 chambres,1 salle de bain",1,48.7223394,1.6514132
Alfortville (94140),"32 chambres,Type  cuisine : Cuisine séparée équipée3 chambres2 chambres1 chambre3 chambres1 chambre1 chambre",10,48.8051624,2.4197113
Andilly (95580),1 chambre,1,48.7662318,5.881351
Andrésy (78570),"2 chambres,1 salle d'eau",1,48.9821445,2.0610573
Angerville (91670),3 chambres4 chambres,2,49.2430262,-0.0328008
Antony (92160),"7442 chambres,Type  cuisine : Cuisine américaine,1 salle de bain3 chambres3 chambres3 chambres1 chambre2 chambres2 chambres,1 salle de bain6 chambres",12,48.753613,2.2958034
Arcueil (94110),3 chambres,1,48.8064996,2.3366502
Argenteuil (95100),"742 chambres,2 salles de bain5 chambres3 chambres3 chambres3 chambres2 chambres3 chambres5 chambres3 chambres,1 salle de bain2 chambres,1 salle de bain2 chambres",13,48.9479069,2.2481797
Arnouville (95400),2 chambres,1,48.9892126,2.4202824
Arnouville les gonesse (95400),1 salle d'eau,1,48.9892126,2.4202824
Arpajon (91290),"41 chambre3 chambres,Type  cuisine : Cuisine américaine,1 salle de bain,1 salle d'eau2 chambres,Type  cuisine : Cuisine indépendante,1 salle d'eau,Cheminée2 chambres",5,44.9034428,2.4570176
Arronville (95810),"3 chambres,1 salle d'eau",1,49.180049,2.1118399
Asnieres sur seine (92600),2 chambres1 chambre3 chambres1 chambre1 chambre,5,48.9105948,2.2890454
Asnieres-sur-seine (92600),1 chambre,1,48.9105948,2.2890454
Asnières-sur-seine (92600),3 chambres2 chambres3 chambres1 salle de bain,5,48.9105948,2.2890454
Athis mons (91200),"42 chambres2 chambres,1 salle de bain,1 toilettes séparées4 chambres",4,48.7079878,2.3888044
Athis-mons (91200),2 chambres,1,48.7079878,2.3888044
Attainville (95570),3 chambres,1,49.0578463,2.3446221
Aubergenville (78410),2 chambres3 chambres5 chambres,3,48.9591392,1.8554319
Aubervilliers (93300),2 chambres2 chambres2 chambres1 chambre2 chambres,6,48.9146078,2.3821895
Auffreville brasseuil (78930),3 chambres,1,48.9548027,1.7102362
Aulnay sous bois (93600),3 chambres2 chambres1 chambre2 chambres3 chambres,5,48.934231,2.499789
Aulnay-sous-bois (93600),"2 chambres3 chambres,Type  cuisine : Cuisine indépendante2 chambres1 chambre5 chambres",5,48.934231,2.499789
Auteuil (78770),"4 chambres,Type  cuisine : Cuisine américaine",1,49.3417561,2.0882337
Auvers-sur-oise (95430),4 chambres,1,49.0704318,2.1717936
Avon (77210),"32 chambres,Type  cuisine : Coin Cuisine",2,48.4048867,2.7207225
Avrainville (91630),3,1,48.7733732,5.9384012
Bagnolet (93170),"3 chambres,1 salle de bain,2 salles d'eau2 chambres",2,48.8688199,2.4173658
Baillet en france (95560),"4 chambres,1 salle de bain,1 salle d'eau",1,49.0632853,2.3064425
Bailly-romainvilliers (77700),"2 chambres,Type  cuisine : Cuisine américaine",1,48.8468159,2.8212923
Ballainvilliers (91160),43 chambres5 chambres,3,48.6752123,2.2944783
Ballancourt sur essonne (91610),3 chambres,1,48.5262129,2.3858373
Ballancourt- sur-essonne (91610),"5 chambres,Type  cuisine : Cuisine américaine",1,48.5262129,2.3858373
Beaumont sur oise (95260),53 chambres,2,49.1419322,2.2849324
Bennecourt (78270),"4 chambres,2 salles de bain,1 salle d'eau",1,49.0398776,1.5617924
Beton-bazoches (77320),5 chambres,1,48.701738,3.2444338
Beynes (78650),"1 salle d'eau4 chambres,1 salle de bain",2,48.8558793,1.8735151
Bezons (95870),321 chambre,4,48.9250016,2.2105491
Blennes (77940),5 chambres,1,48.2576831,3.023088
Bobigny (93000),"3 chambres,1 salle de bain2 chambres",2,48.906387,2.4452231
Bois-d'arcy (78390),2 chambres,1,47.5475818,3.7165618
Boissy saint leger (94470),0,1,48.7479193,2.5124717
Boissy-sous-saint-yon (91790),"51 chambre,Type  cuisine : Cuisine équipée",2,48.5486852,2.2124998
Bondy (93140),3 chambres,1,48.9031,2.48291
Bonneuil-sur-marne (94380),2 chambres,1,48.7737116,2.4869009
Bonnieres sur seine (78270),"3 chambres,1 salle de bain1 chambre",2,49.037481,1.5809775
Bonnières-sur-seine (78270),2 chambres,1,49.037481,1.5809775
Bouafle (78410),4 chambres5 chambres,2,48.9644944,1.9001777
Boulogne billancourt (92100),"4 chambres3 chambres2 chambres,1 toilettes séparées1 chambre,1 salle de bain4 chambres1 chambre3 chambres",7,48.8356649,2.240206
Boulogne-billancourt (92100),"2 chambres1 chambre,Type  cuisine : Cuisine américaine2 chambres3 chambresIndépendante,Séjour séparé : Oui,2 chambres,1 salle de bain,1 salle d'eau,1 WC,1 placard",6,48.8356649,2.240206
Bouray sur juine (91850),5 chambres4 chambres,2,48.5207694,2.299413
Bourdonne (78113),"3 chambres,1 salle de bain",1,48.756819,1.6644208
Bourg-la-reine (92340),2 chambres2 chambres,2,48.7795178,2.316085
Boussy saint antoine (91800),3 chambres,1,48.6887478,2.5299905
Bransles (77620),"2 chambres,Cheminée5 chambres,2 salles de bain,3 toilettes séparées",2,48.1528145,2.8343059
Bray sur seine (77480),4,1,48.4149956,3.2394035
Bray-sur-seine (77480),1 chambre,1,48.4149956,3.2394035
Bretigny sur orge (91220),1 chambre,1,48.6099887,2.3075288
Bretigny-sur-orge (91220),2 chambres,1,48.6099887,2.3075288
Breuillet (91650),3 chambres,1,45.6938702,-1.0503893
Breval (78980),7 chambres,1,48.9447453,1.5331842
Brie-comte-robert (77170),2 chambres,1,48.6904522,2.6166737
Briis sous forges (91640),6 chambres,1,48.6246916,2.1243349
Brunoy (91800),"3 chambres,Cheminée",1,48.6979312,2.5044613
Bruyères-le-châtel (91680),2,1,48.5922609,2.1909499
Bry-sur-marne (94360),2 chambres,1,48.8352872,2.5193322
Brétigny-sur-orge (91220),"1 chambre,Type  cuisine : Cuisine séparée équipée",1,48.6099887,2.3075288
Bullion (78830),"6 chambres,Type  cuisine : Cuisine séparée équipée,Cheminée",1,48.6221663,1.9945126
Bussy saint georges (77600),44 chambres4 chambres4 chambres5 chambres,5,48.8389953,2.7171086
Bussy-saint-georges (77600),6,2,48.8389953,2.7171086
Cannes ecluse (77130),4 chambres,1,48.3641051,2.9920342
Cannes-Écluse (77130),7 chambres,2,48.3641051,2.9920342
Carrieres sur seine (78420),3 chambres,1,48.9134112,2.1779083
Carrieres-sous-poissy (78955),3 chambres3 chambres,2,48.9437694,2.0341747
Carrieres-sur-seine (78420),2 chambres,1,48.9134112,2.1779083
Carrières-sous-poissy (78955),2 chambres,1,48.9437694,2.0341747
Carrières-sur-seine (78420),1 salle de bain,1,48.9134112,2.1779083
Cergy (95000),2 chambres2 chambres4 chambres1 chambre2 chambres3 chambres,6,49.0527528,2.0388736
Cergy (95800),32 chambres3 chambres1 chambre1 chambre2 chambres,6,49.0527528,2.0388736
Cernay-la-ville (78720),3 chambres3 chambres,2,48.6731134,1.974341
Cerny (91590),0,1,48.4762984,2.3296911
Cesson (77240),"4 chambres,Type  cuisine : Cuisine indépendante,Cheminée",1,48.5624381,2.6021145
Chalifert (77144),1 chambre,1,48.8896421,2.7725465
Champagne sur seine (77430),"3 chambres,Type  cuisine : Cuisine indépendante,Cheminée",1,48.3948577,2.8028617
Champagne-sur-seine (77430),2 chambres,1,48.3948577,2.8028617
Champigny sur marne (94500),2 chambres4 chambres,2,48.8137847,2.510611
Champigny-sur-marne (94500),4 chambres3 chambres,2,48.8137847,2.510611
Champs sur marne (77420),4 chambres,1,48.8526892,2.6027219
Champs-sur-marne (77420),"2 chambres,Type  cuisine : Cuisine américaine",1,48.8526892,2.6027219
Chanteloup-les-vignes (78570),"4 chambres,Type  cuisine : Cuisine séparée équipée,Cheminée1 chambre,Type  cuisine : Cuisine équipée",2,48.9784414,2.0302362
Charenton le pont (94220),2 chambres2 chambres1 chambre3 chambres,4,48.8198479,2.4159508
Charenton-le-pont (94220),"1 chambre,1 salle de bain",1,48.8198479,2.4159508
Chars (95750),0,1,49.1604049,1.9367877
Chatenay malabry (92290),1 chambre,2,48.7670404,2.2775316
Chatenay-malabry (92290),4 chambres,2,48.7670404,2.2775316
Chatou (78400),51 chambre3 chambres,4,48.8897044,2.1573695
Chaumes en brie (77390),1 chambre2 chambres3 chambres,3,48.6647753,2.842398
Chaumes-en-brie (77390),"3 chambres,Type  cuisine : Cuisine indépendante,Cheminée",1,48.6647753,2.842398
Chavenay (78450),353 chambres,3,48.8533873,1.9876695
Chaville (92370),4 chambres,1,48.8086297,2.1882897
Chelles (77500),54 chambres2 chambres,3,49.3549458,3.0344372
Chennevieres sur marne (94430),2 chambres,1,48.7965001,2.530442
ChenneviÈres-sur-marne (94430),3 chambres,1,48.7965001,2.530442
Chenoise (77160),0,1,48.6172325,3.186276
Chessy (77700),2 chambres4 chambres,2,48.8798792,2.7658363
Chevilly-larue (94550),4 chambres3 chambres,2,48.7714153,2.3469255
Chilly-mazarin (91380),"32 chambres,Type  cuisine : Cuisine indépendante3 chambres",3,48.7026161,2.3123582
Choisy le roi (94600),3 chambres3 chambres5 chambres3 chambres,4,48.7630238,2.4093664
Choisy-le-roi (94600),3,1,48.7630238,2.4093664
Châtenay-malabry (92290),2 chambres,1,48.7670404,2.2775316
Clamart (92140),"2 chambres7 chambres4 chambres3 chambres,Type  cuisine : Cuisine américaine,1 salle de bain2 chambres1 chambre2 chambres1 chambre3 chambres",9,48.8003835,2.2630238
Claye souilly (77410),4 chambres5 chambres,2,48.9460871,2.6883703
Claye-souilly (77410),0,1,48.9460871,2.6883703
Clichy (92110),1 chambre3 chambres,2,48.9026,2.30551
Clichy-sous-bois (93390),3 chambres,1,48.910939,2.5460722
Collegien (77090),2 chambres2 chambres,2,48.8362114,2.673176
Colombes (92700),"42 chambres,Type  cuisine : Cuisine séparée équipée2 chambres,Type  cuisine : Cuisine séparée équipée3 chambres2 chambres2 chambres3 chambres",7,48.9227298,2.2543631
Combs-la-ville (77380),2 chambres,1,48.6646994,2.564877
Condé-sur-vesgre (78113),4 chambres,1,48.7417887,1.6621733
Conflans-sainte-honorine (78700),"2 chambres,Type  cuisine : Cuisine indépendante3 chambres2 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain,1 toilettes séparées,1 niveau",3,48.9938791,2.0949768
Corbeil essonnes (91100),"2 chambres3 chambres,1 salle de bain,1 toilettes séparées4 chambres3 chambres",4,48.6137734,2.4818087
Corbeil-essonnes (91100),"32341 chambre1 chambre,1 salle d'eau",6,48.6137734,2.4818087
Cormeilles en parisis (95240),"2 chambres,1 salle de bain1 chambre,1 salle de bain",2,48.9759637,2.1998877
Cormeilles-en-parisis (95240),"2,Séjour séparé : Non,Salle à manger : Non,3 chambres,1 bureau,2 salles de bain,2 salles d'eau,2 WC",2,48.9759637,2.1998877
Coubert (77170),"3 chambres,Type  cuisine : Cuisine séparée équipée,1 salle d'eau",1,48.6726066,2.6954544
Coubron (93470),4 chambres,1,48.9166,2.57922
Coulommiers (77120),4 chambres2 chambres2 chambres,3,48.8121301,3.0843818
Courbevoie (92400),3 chambres2 chambres1 chambre3 chambres,5,48.8953328,2.2561602
Courdimanche (95800),"5 chambres,2 salles de bain",1,49.0354894,1.999555
Courtry (77181),5 chambres,1,48.9156784,2.602362
Creteil (94000),2 chambres3 chambres1 chambre2 chambres2 chambres,5,48.7771486,2.4530731
Crouy-sur-ourcq (77840),0,1,49.0906177,3.0753978
Créteil (94000),62 chambres2 chambres,3,48.7771486,2.4530731
Dammartin en goele (77230),2 chambres,1,49.0547758,2.6835682
Darvault (77140),233,3,48.270741,2.7351364
Domont (95330),53 chambres3 chambres4 chambres2 chambres3 chambres,6,49.0285536,2.3278097
Donnemarie dontilly (77520),0,1,48.4784615,3.1329223
Donnemarie-dontilly (77520),"4 chambres,1 salle de bain,1 salle d'eau,Cheminée3 chambres,1 salle de bain,1 salle d'eau,Cheminée",2,48.4784615,3.1329223
Dourdan (91410),343 chambres3 chambres,4,48.5288442,2.0153689
Drancy (93700),"3 chambres,Type  cuisine : Cuisine indépendante,Cheminée3 chambres,Type  cuisine : Cuisine indépendante,Cheminée3 chambres3 chambres,1 salle de bain,2 toilettes séparées1 chambre5 chambres2 chambres2 chambres2 chambres",10,48.9229803,2.4455201
Draveil (91210),4 chambres1 chambre,2,48.6851514,2.4083576
Drocourt (78440),"3 chambres,1 salle de bain,1 salle d'eau",1,50.3922158,2.9246358
Dugny (93440),5,1,48.9538155,2.414733
